transcript	l_tr	l_utr5	l_cds	l_utr3
ENST00000306072	1583	85	546	952
ENST00000297283	837	38	762	37
ENST00000294811	4684	257	810	3617
ENST00000306384	660	60	351	249
ENST00000296091	3270	256	1635	1379
ENST00000316401	1708	381	594	733
ENST00000316425	756	113	441	202
ENST00000323322	823	63	654	106
ENST00000301457	580	17	342	221
ENST00000313368	2295	740	1050	505
ENST00000316562	8484	178	1713	6593
ENST00000320270	1720	118	1098	504
ENST00000293725	2699	151	1431	1117
ENST00000307407	1642	90	300	1252
ENST00000318607	2861	505	1911	445
ENST00000280871	7221	273	1947	5001
ENST00000310118	2913	26	2727	160
ENST00000282753	6846	456	3585	2805
ENST00000298966	987	269	180	538
ENST00000313022	1038	28	936	74
ENST00000317702	1879	52	1341	486
ENST00000315870	3749	120	1257	2372
ENST00000285599	5129	22	3030	2077
ENST00000309428	3749	50	1401	2298
ENST00000297613	1092	281	492	319
ENST00000304749	749	69	426	254
ENST00000302101	2557	442	402	1713
ENST00000300283	1779	392	1254	133
ENST00000302125	925	57	570	298
ENST00000282588	10736	438	3540	6758
ENST00000301788	791	69	519	203
ENST00000298527	952	180	690	82
ENST00000297273	3931	276	2394	1261
ENST00000318562	3030	136	2148	746
ENST00000312828	8745	348	612	7785
ENST00000297164	2536	1229	912	395
ENST00000301599	874	9	480	385
ENST00000303145	2918	87	2145	686
ENST00000308893	4937	816	3708	413
ENST00000324768	6292	46	873	5373
ENST00000277632	2364	208	1338	818
ENST00000311921	7638	192	2862	4584
ENST00000297459	6283	158	918	5207
ENST00000289361	3388	330	1542	1516
ENST00000317955	1679	115	1089	475
ENST00000298198	8477	272	1869	6336
ENST00000300128	5617	46	1335	4236
ENST00000289371	5741	166	3663	1912
ENST00000298248	1483	63	960	460
ENST00000292609	2758	130	1905	723
ENST00000313324	2220	476	780	964
ENST00000320610	10157	51	5544	4562
ENST00000282869	9084	1285	1452	6347
ENST00000309315	5228	207	2763	2258
ENST00000297109	6185	608	552	5025
ENST00000304523	2384	160	1122	1102
ENST00000302451	2148	249	1755	144
ENST00000323833	1218	26	1041	151
ENST00000302917	1248	93	939	216
ENST00000309731	3284	16	1065	2203
ENST00000308062	2033	52	849	1132
ENST00000300184	2956	146	723	2087
ENST00000310521	1605	71	1347	187
ENST00000287585	4900	306	744	3850
ENST00000307128	2549	165	795	1589
ENST00000310955	1649	75	1500	74
ENST00000324464	2443	303	1635	505
ENST00000302628	1454	70	816	568
ENST00000306100	4796	402	2544	1850
ENST00000280772	17019	337	13134	3548
ENST00000282633	4642	52	4026	564
ENST00000282470	2778	343	1995	440
ENST00000307493	2051	68	1734	249
ENST00000306357	830	12	711	107
ENST00000310836	3733	170	1626	1937
ENST00000321897	4073	632	3192	249
ENST00000281416	4608	135	2376	2097
ENST00000297157	1135	32	666	437
ENST00000315489	1589	236	870	483
ENST00000283928	3173	218	732	2223
ENST00000320704	996	0	996	0
ENST00000296328	10521	28	1470	9023
ENST00000303077	2206	342	876	988
ENST00000283249	4641	209	2367	2065
ENST00000304129	3722	47	2457	1218
ENST00000308132	2802	193	1197	1412
ENST00000290953	498	34	399	65
ENST00000304760	6542	386	1488	4668
ENST00000302495	2032	36	1431	565
ENST00000286719	3343	281	2262	800
ENST00000279101	3785	9	1437	2339
ENST00000323205	1656	63	1338	255
ENST00000296464	10608	229	2520	7859
ENST00000308911	1335	0	1335	0
ENST00000284437	1949	178	945	826
ENST00000313843	1410	248	894	268
ENST00000303961	2100	306	1224	570
ENST00000325437	2832	130	477	2225
ENST00000281471	1952	13	777	1162
ENST00000320095	1690	207	936	547
ENST00000305141	3221	84	1281	1856
ENST00000317991	2659	156	2175	328
ENST00000299415	805	27	462	316
ENST00000287647	5219	93	4416	710
ENST00000322241	2119	272	1107	740
ENST00000307529	3071	87	2520	464
ENST00000320254	5177	3	5103	71
ENST00000298428	2495	111	1431	953
ENST00000303251	1588	431	612	545
ENST00000324384	615	195	264	156
ENST00000287322	4197	15	1374	2808
ENST00000277942	9249	328	1293	7628
ENST00000297268	5072	137	4101	834
ENST00000309017	3765	774	1398	1593
ENST00000277895	2657	98	2337	222
ENST00000316099	6490	134	1425	4931
ENST00000290231	3224	175	1740	1309
ENST00000307864	3134	105	1122	1907
ENST00000287078	3758	114	1701	1943
ENST00000301364	4245	30	2415	1800
ENST00000293845	1373	227	951	195
ENST00000306010	1265	26	717	522
ENST00000283303	3128	231	2088	809
ENST00000296474	4772	264	4203	305
ENST00000318698	2426	35	2292	99
ENST00000311895	6764	12	2751	4001
ENST00000312511	399	92	156	151
ENST00000309558	4602	13	1890	2699
ENST00000313940	1037	47	936	54
ENST00000296350	3964	115	2217	1632
ENST00000320740	2704	124	1410	1170
ENST00000318934	3906	156	3441	309
ENST00000289316	789	24	381	384
ENST00000306243	2175	230	1131	814
ENST00000302118	3637	290	2079	1268
ENST00000306193	3440	166	714	2560
ENST00000321420	6216	154	2586	3476
ENST00000311027	5990	165	4944	881
ENST00000313468	737	53	633	51
ENST00000294829	2302	404	1785	113
ENST00000293981	915	259	423	233
ENST00000298832	4716	237	3846	633
ENST00000295822	5534	130	462	4942
ENST00000309384	930	182	477	271
ENST00000314666	5369	130	4017	1222
ENST00000315170	1332	45	1158	129
ENST00000297508	3096	144	2715	237
ENST00000303694	5734	464	1059	4211
ENST00000295461	5302	68	1233	4001
ENST00000310991	935	14	630	291
ENST00000311659	2379	120	1968	291
ENST00000309328	769	15	600	154
ENST00000303375	5719	133	4440	1146
ENST00000308159	8234	97	2460	5677
ENST00000283429	1092	106	900	86
ENST00000311765	6997	180	1590	5227
ENST00000299866	3370	301	642	2427
ENST00000305165	808	60	528	220
ENST00000296777	800	19	351	430
ENST00000322813	2998	277	1617	1104
ENST00000278855	1499	51	477	971
ENST00000306320	3208	26	1494	1688
ENST00000287713	5441	113	924	4404
ENST00000282728	1724	32	813	879
ENST00000303892	1370	49	357	964
ENST00000324907	3568	141	1857	1570
ENST00000282570	4161	233	1548	2380
ENST00000305089	775	81	501	193
ENST00000314607	7366	338	4647	2381
ENST00000307366	1273	12	609	652
ENST00000290691	2725	1018	1422	285
ENST00000285018	3991	255	1050	2686
ENST00000316491	2769	199	381	2189
ENST00000295688	1977	108	1638	231
ENST00000304374	2376	396	1434	546
ENST00000312655	5264	365	360	4539
ENST00000317093	1034	33	975	26
ENST00000281437	1905	188	840	877
ENST00000305631	3834	58	972	2804
ENST00000306749	8464	123	7536	805
ENST00000321844	5363	504	765	4094
ENST00000304546	2871	217	2328	326
ENST00000280701	1506	89	1380	37
ENST00000286201	4587	793	1725	2069
ENST00000287295	2222	185	1842	195
ENST00000300249	4212	127	984	3101
ENST00000323060	2250	78	543	1629
ENST00000297267	6548	197	5685	666
ENST00000304527	5273	1090	2373	1810
ENST00000302913	2956	139	1854	963
ENST00000319074	2914	116	423	2375
ENST00000285279	2939	178	519	2242
ENST00000308108	2674	51	1215	1408
ENST00000321990	6873	382	5535	956
ENST00000284262	4382	639	2247	1496
ENST00000296754	5495	258	2847	2390
ENST00000280295	1636	234	351	1051
ENST00000282041	12688	90	7740	4858
ENST00000324453	5761	151	396	5214
ENST00000290974	4114	322	2664	1128
ENST00000324642	2095	97	1887	111
ENST00000287916	3565	287	735	2543
ENST00000317658	1070	150	900	20
ENST00000312280	1828	207	483	1138
ENST00000324557	975	23	768	184
ENST00000301944	918	57	639	222
ENST00000321256	2101	25	471	1605
ENST00000324103	3502	201	3219	82
ENST00000285420	3298	99	972	2227
ENST00000320393	3668	23	1179	2466
ENST00000318238	7150	1234	4755	1161
ENST00000308025	3256	80	2463	713
ENST00000312397	3557	47	2403	1107
ENST00000276241	1441	227	795	419
ENST00000291574	6986	185	3780	3021
ENST00000295079	1495	322	876	297
ENST00000310421	9956	273	3669	6014
ENST00000293604	1978	193	1491	294
ENST00000321898	3158	356	1638	1164
ENST00000299320	2457	213	1563	681
ENST00000294409	1912	90	1722	100
ENST00000314099	2577	0	2334	243
ENST00000298289	676	101	321	254
ENST00000295683	2459	88	1053	1318
ENST00000291458	720	7	435	278
ENST00000309777	1107	31	423	653
ENST00000285013	8398	205	2694	5499
ENST00000310653	3389	502	627	2260
ENST00000302342	5633	271	3147	2215
ENST00000313349	5549	298	945	4306
ENST00000296327	1430	179	1023	228
ENST00000316105	4381	158	2394	1829
ENST00000284719	4251	81	1191	2979
ENST00000309166	3761	66	726	2969
ENST00000313578	1835	40	816	979
ENST00000303635	8314	77	5022	3215
ENST00000275200	1029	0	1029	0
ENST00000295213	4430	401	1617	2412
ENST00000308018	959	74	417	468
ENST00000300146	4129	142	2313	1674
ENST00000303068	2559	95	1812	652
ENST00000310442	4803	45	855	3903
ENST00000282549	2828	248	1065	1515
ENST00000299427	3492	22	1692	1778
ENST00000316084	1474	53	792	629
ENST00000304788	3803	66	747	2990
ENST00000306796	2233	202	1422	609
ENST00000296420	3966	108	786	3072
ENST00000325719	1067	45	945	77
ENST00000300747	3324	262	1458	1604
ENST00000300127	945	0	945	0
ENST00000301998	2761	250	1194	1317
ENST00000274813	3811	190	2253	1368
ENST00000312403	1382	52	1167	163
ENST00000296564	7930	239	6801	890
ENST00000286688	3340	12	624	2704
ENST00000324001	4867	283	4386	198
ENST00000321731	2780	127	1764	889
ENST00000324932	6726	183	5403	1140
ENST00000317620	4731	137	2505	2089
ENST00000297532	1794	43	1650	101
ENST00000295201	1512	150	1308	54
ENST00000290158	6058	326	2631	3101
ENST00000283946	2813	11	567	2235
ENST00000324166	1980	12	1455	513
ENST00000313835	2124	146	1368	610
ENST00000293441	9636	440	6486	2710
ENST00000295225	2891	92	771	2028
ENST00000315970	2682	30	2004	648
ENST00000321464	8014	610	3588	3816
ENST00000311015	2442	211	414	1817
ENST00000296509	5227	114	618	4495
ENST00000324767	4707	59	4203	445
ENST00000305885	2016	139	1143	734
ENST00000300303	2949	256	1110	1583
ENST00000275560	2800	350	1728	722
ENST00000320756	2606	77	447	2082
ENST00000310924	10960	140	2304	8516
ENST00000275230	5572	144	1854	3574
ENST00000325411	2258	51	1809	398
ENST00000321736	2378	163	279	1936
ENST00000295958	6252	162	300	5790
ENST00000299088	3360	422	1617	1321
ENST00000287844	4527	85	1872	2570
ENST00000302641	1135	64	873	198
ENST00000299441	10713	367	9897	449
ENST00000302177	1923	131	1053	739
ENST00000284957	3733	77	1476	2180
ENST00000324068	3532	128	1926	1478
ENST00000296585	7843	117	3546	4180
ENST00000307677	2574	381	702	1491
ENST00000302708	1544	419	861	264
ENST00000274547	7367	176	1539	5652
ENST00000295268	1892	326	1380	186
ENST00000286398	5992	304	3594	2094
ENST00000295206	2427	481	1179	767
ENST00000294725	5984	131	3408	2445
ENST00000281828	6761	19	1770	4972
ENST00000307333	1473	3	1470	0
ENST00000312719	3869	1167	1041	1661
ENST00000323997	1521	132	1305	84
ENST00000291552	945	76	723	146
ENST00000310227	2846	164	1533	1149
ENST00000279968	1034	324	348	362
ENST00000299192	4416	162	2043	2211
ENST00000318203	2246	697	1302	247
ENST00000301242	560	35	444	81
ENST00000276594	2269	127	1716	426
ENST00000306422	2694	164	978	1552
ENST00000298838	1873	189	1275	409
ENST00000325212	8014	119	7806	89
ENST00000320330	3874	374	765	2735
ENST00000313525	2280	74	1083	1123
ENST00000320185	1169	214	735	220
ENST00000308234	4580	402	1437	2741
ENST00000305123	9771	1082	3729	4960
ENST00000324138	2894	154	2580	160
ENST00000290649	3607	218	1932	1457
ENST00000319349	2335	207	1455	673
ENST00000287908	6873	393	1473	5007
ENST00000313472	939	0	939	0
ENST00000321725	7928	76	7713	139
ENST00000290438	3176	41	2082	1053
ENST00000289359	939	77	750	112
ENST00000294485	7365	154	1050	6161
ENST00000297056	2839	112	2019	708
ENST00000320516	1792	204	1455	133
ENST00000300291	4393	130	684	3579
ENST00000309881	2094	413	1419	262
ENST00000305625	748	86	585	77
ENST00000320152	1939	31	678	1230
ENST00000318753	1233	34	948	251
ENST00000304060	4215	175	1788	2252
ENST00000317543	583	22	294	267
ENST00000323374	2138	456	1413	269
ENST00000302326	7814	1213	3963	2638
ENST00000314728	4871	484	1926	2461
ENST00000306024	3359	44	309	3006
ENST00000311487	1920	249	324	1347
ENST00000287706	1210	103	933	174
ENST00000317447	4091	334	1731	2026
ENST00000320865	1383	14	1086	283
ENST00000292246	3155	114	1983	1058
ENST00000312734	1610	492	957	161
ENST00000278968	1477	448	606	423
ENST00000305748	2284	35	1623	626
ENST00000297537	1818	146	1092	580
ENST00000316804	3273	327	654	2292
ENST00000301838	1708	164	627	917
ENST00000310447	4089	105	1359	2625
ENST00000291539	2192	194	1782	216
ENST00000323929	6841	159	2127	4555
ENST00000302622	954	0	954	0
ENST00000309539	2456	55	822	1579
ENST00000299565	3623	200	1407	2016
ENST00000304385	10534	64	552	9918
ENST00000300255	1671	148	1326	197
ENST00000298181	1340	159	567	614
ENST00000310594	2184	145	1080	959
ENST00000280800	4787	14	1770	3003
ENST00000277746	1813	143	864	806
ENST00000293760	2941	14	1512	1415
ENST00000308031	6266	121	1881	4264
ENST00000316470	1420	134	1218	68
ENST00000305444	939	0	939	0
ENST00000304992	7280	99	7008	173
ENST00000320201	7134	537	4050	2547
ENST00000324341	1864	422	726	716
ENST00000303204	1226	187	660	379
ENST00000285116	2849	160	768	1921
ENST00000311189	1070	214	570	286
ENST00000310786	3020	89	594	2337
ENST00000287474	2678	602	1881	195
ENST00000299871	2577	131	1890	556
ENST00000284476	4762	164	4575	23
ENST00000319211	3727	182	1278	2267
ENST00000322652	4495	240	2220	2035
ENST00000274793	1915	230	1326	359
ENST00000280350	1090	69	948	73
ENST00000296161	5768	89	2223	3456
ENST00000311638	3549	68	669	2812
ENST00000322535	3272	21	2688	563
ENST00000299575	4881	29	2472	2380
ENST00000295756	1831	142	561	1128
ENST00000280706	2555	825	999	731
ENST00000312438	1705	59	678	968
ENST00000321945	4210	28	1230	2952
ENST00000280190	4705	156	3969	580
ENST00000308736	4559	109	3474	976
ENST00000325157	2680	221	1824	635
ENST00000314583	1992	84	1461	447
ENST00000292494	1131	115	396	620
ENST00000289429	1809	246	984	579
ENST00000323584	5459	20	3282	2157
ENST00000323770	1718	164	882	672
ENST00000275015	2581	25	1503	1053
ENST00000313401	3948	315	924	2709
ENST00000317744	6056	562	1728	3766
ENST00000316368	972	0	972	0
ENST00000292614	932	47	354	531
ENST00000316549	3564	146	1938	1480
ENST00000284503	2699	628	999	1072
ENST00000318388	857	45	750	62
ENST00000321063	13061	229	5685	7147
ENST00000302824	4887	42	642	4203
ENST00000301981	5852	121	1104	4627
ENST00000275603	2584	84	1596	904
ENST00000307839	2155	52	615	1488
ENST00000323760	2093	248	1422	423
ENST00000301096	2599	401	1551	647
ENST00000321762	973	237	375	361
ENST00000299339	2466	34	687	1745
ENST00000283141	2909	75	2439	395
ENST00000295408	3826	129	3000	697
ENST00000280605	2660	20	1881	759
ENST00000277570	3375	196	1308	1871
ENST00000319580	3101	29	1569	1503
ENST00000309971	3302	87	2097	1118
ENST00000287025	1463	120	1254	89
ENST00000291971	3934	71	3147	716
ENST00000311148	1686	279	1266	141
ENST00000289820	1100	240	645	215
ENST00000321341	9031	203	1755	7073
ENST00000279168	752	60	390	302
ENST00000278888	3648	102	735	2811
ENST00000324938	2111	158	1098	855
ENST00000286827	7200	472	4776	1952
ENST00000287777	2499	82	1866	551
ENST00000302274	6570	280	798	5492
ENST00000310092	1607	62	1095	450
ENST00000298352	1778	269	456	1053
ENST00000306087	2020	470	723	827
ENST00000296736	3493	262	1566	1665
ENST00000295704	1477	32	1380	65
ENST00000316715	3118	189	987	1942
ENST00000296145	1956	182	567	1207
ENST00000295899	892	15	615	262
ENST00000323944	4132	452	633	3047
ENST00000284273	6865	328	1950	4587
ENST00000293695	1248	36	657	555
ENST00000290795	3599	1222	1425	952
ENST00000279178	2366	272	1662	432
ENST00000296137	8514	215	4437	3862
ENST00000323289	5527	183	4755	589
ENST00000307885	6464	695	3507	2262
ENST00000314727	2186	147	606	1433
ENST00000278980	1362	76	603	683
ENST00000301522	925	70	597	258
ENST00000287907	4555	576	1074	2905
ENST00000309439	868	95	558	215
ENST00000317868	2944	210	1377	1357
ENST00000313237	3976	456	1596	1924
ENST00000296452	15971	126	11781	4064
ENST00000298130	2662	33	216	2413
ENST00000302759	3762	68	3258	436
ENST00000296694	516	93	282	141
ENST00000316637	2296	39	1896	361
ENST00000290079	839	27	327	485
ENST00000310614	1500	98	639	763
ENST00000295095	1670	62	1428	180
ENST00000305366	1555	102	609	844
ENST00000317987	513	59	258	196
ENST00000321322	6899	2	6342	555
ENST00000280557	2719	136	597	1986
ENST00000304710	755	72	429	254
ENST00000289672	9105	26	8550	529
ENST00000311378	3417	352	1731	1334
ENST00000305544	5692	183	5397	112
ENST00000311856	2997	49	1656	1292
ENST00000274867	6185	146	3207	2832
ENST00000299314	5720	284	3771	1665
ENST00000300035	2132	70	336	1726
ENST00000282611	1355	85	1197	73
ENST00000278071	6807	453	1644	4710
ENST00000318709	6987	221	1947	4819
ENST00000301475	3014	230	1209	1575
ENST00000296102	508	59	198	251
ENST00000315792	1829	51	321	1457
ENST00000282050	1945	145	1662	138
ENST00000308251	5503	383	1560	3560
ENST00000315872	8345	500	4167	3678
ENST00000324439	4408	117	786	3505
ENST00000312865	2332	53	2244	35
ENST00000280346	3878	65	1944	1869
ENST00000297533	1295	90	741	464
ENST00000303731	812	117	438	257
ENST00000305199	681	100	474	107
ENST00000303903	1011	54	957	0
ENST00000305249	4779	586	1224	2969
ENST00000300175	1238	110	639	489
ENST00000312561	6234	418	5244	572
ENST00000300026	893	36	651	206
ENST00000323446	2783	245	2412	126
ENST00000297185	4404	83	2040	2281
ENST00000284268	8207	331	1479	6397
ENST00000309295	5170	250	4572	348
ENST00000293599	1449	146	798	505
ENST00000308375	3217	225	1164	1828
ENST00000280886	7885	90	4671	3124
ENST00000301656	1628	57	1380	191
ENST00000291295	2184	105	450	1629
ENST00000306385	3593	34	2961	598
ENST00000311331	4241	89	2598	1554
ENST00000314616	6404	169	5181	1054
ENST00000325278	2355	21	1044	1290
ENST00000282292	2277	143	1329	805
ENST00000310806	4577	259	3399	919
ENST00000309137	2823	234	765	1824
ENST00000283233	3130	314	1776	1040
ENST00000319332	3477	166	2127	1184
ENST00000305454	3155	83	624	2448
ENST00000323906	1259	135	846	278
ENST00000310706	3200	119	2238	843
ENST00000282272	6087	176	2982	2929
ENST00000321442	4066	89	969	3008
ENST00000312942	1337	50	819	468
ENST00000296029	773	74	306	393
ENST00000280187	2854	46	837	1971
ENST00000309955	14612	455	1443	12714
ENST00000295297	4516	259	891	3366
ENST00000304936	1418	52	939	427
ENST00000322269	1815	429	735	651
ENST00000295746	4066	63	2718	1285
ENST00000274605	5985	270	1635	4080
ENST00000276062	948	359	492	97
ENST00000296657	9586	398	1485	7703
ENST00000274712	1544	14	600	930
ENST00000300245	2133	218	882	1033
ENST00000298125	9369	226	1203	7940
ENST00000276893	3576	292	2409	875
ENST00000288266	6069	155	2130	3784
ENST00000308982	2445	72	1866	507
ENST00000302450	4723	11	2238	2474
ENST00000297313	2117	105	1167	845
ENST00000290510	2631	34	2211	386
ENST00000304716	619	147	444	28
ENST00000308086	4432	209	687	3536
ENST00000306125	2449	24	2328	97
ENST00000284637	5120	193	2667	2260
ENST00000319283	3046	86	1323	1637
ENST00000315073	3645	719	1893	1033
ENST00000290921	2297	182	1323	792
ENST00000319636	3851	112	1575	2164
ENST00000302783	668	21	570	77
ENST00000295065	4505	310	894	3301
ENST00000297632	9038	544	723	7771
ENST00000311034	3272	145	2409	718
ENST00000278198	4054	1964	1923	167
ENST00000289104	4538	647	627	3264
ENST00000323703	2144	208	1626	310
ENST00000322564	4891	238	1521	3132
ENST00000304032	10889	644	2574	7671
ENST00000306917	7177	673	1884	4620
ENST00000295727	1406	109	717	580
ENST00000296674	3252	31	432	2789
ENST00000304733	2075	74	537	1464
ENST00000322886	5725	225	2736	2764
ENST00000288014	2611	487	693	1431
ENST00000297325	1425	169	1074	182
ENST00000319359	1755	65	1194	496
ENST00000315626	991	113	453	425
ENST00000296955	1979	125	1620	234
ENST00000321110	2649	296	1428	925
ENST00000290942	1116	236	531	349
ENST00000323963	1886	34	1224	628
ENST00000323469	3378	138	597	2643
ENST00000311268	2495	511	1767	217
ENST00000282670	2262	129	540	1593
ENST00000318493	6876	396	4227	2253
ENST00000293883	3243	758	2373	112
ENST00000325602	2765	21	1065	1679
ENST00000308521	4496	97	1122	3277
ENST00000302243	2923	89	1437	1397
ENST00000305208	2361	18	1602	741
ENST00000289753	3800	879	1323	1598
ENST00000300151	1083	120	756	207
ENST00000295588	3508	59	1179	2270
ENST00000322897	3559	76	939	2544
ENST00000314254	1444	420	969	55
ENST00000292778	1309	8	972	329
ENST00000318021	1066	22	963	81
ENST00000323404	1650	84	948	618
ENST00000316273	1563	22	1179	362
ENST00000304646	942	0	939	3
ENST00000282841	2895	232	903	1760
ENST00000309657	1462	15	990	457
ENST00000313581	4391	64	4305	22
ENST00000306011	2212	174	1065	973
ENST00000275461	640	59	501	80
ENST00000287196	2625	459	1893	273
ENST00000277508	821	25	543	253
ENST00000290765	1108	64	735	309
ENST00000320362	1651	230	963	458
ENST00000323037	3167	761	729	1677
ENST00000304771	3252	669	2442	141
ENST00000318636	6837	136	954	5747
ENST00000316157	5963	317	2217	3429
ENST00000286380	802	61	741	0
ENST00000309664	1750	20	1581	149
ENST00000295633	5682	96	927	4659
ENST00000310256	1428	12	816	600
ENST00000295470	4372	772	1263	2337
ENST00000320741	4542	48	735	3759
ENST00000279783	960	0	960	0
ENST00000315322	4881	103	558	4220
ENST00000316398	2348	65	1125	1158
ENST00000295367	900	64	510	326
ENST00000316300	6431	61	6123	247
ENST00000320676	2012	155	1176	681
ENST00000306534	4294	70	3024	1200
ENST00000309982	2817	173	438	2206
ENST00000300413	4858	116	360	4382
ENST00000316407	13704	407	6738	6559
ENST00000296097	2065	406	570	1089
ENST00000284856	1337	437	135	765
ENST00000321792	4799	428	1173	3198
ENST00000278193	4842	17	594	4231
ENST00000308275	10707	86	1212	9409
ENST00000290607	15637	110	14103	1424
ENST00000278243	1963	102	948	913
ENST00000297591	6478	22	5439	1017
ENST00000317103	815	307	420	88
ENST00000280987	3053	192	711	2150
ENST00000278353	2396	90	939	1367
ENST00000312292	3372	15	3240	117
ENST00000316610	4277	479	840	2958
ENST00000310018	3136	283	2523	330
ENST00000311403	5956	340	3042	2574
ENST00000287652	5342	1051	2286	2005
ENST00000286424	989	11	858	120
ENST00000301891	3545	59	1653	1833
ENST00000324817	7996	130	4365	3501
ENST00000296098	2027	270	1203	554
ENST00000274773	2864	86	1536	1242
ENST00000294818	1372	297	942	133
ENST00000278550	14381	842	8310	5229
ENST00000311212	2672	241	231	2200
ENST00000297819	1160	51	735	374
ENST00000293860	1372	22	327	1023
ENST00000298925	3329	153	2517	659
ENST00000302787	5371	206	2220	2945
ENST00000298032	3718	55	2619	1044
ENST00000280700	2534	53	1965	516
ENST00000301761	1186	23	501	662
ENST00000282561	3083	203	1149	1731
ENST00000318950	4884	103	1758	3023
ENST00000310574	3213	456	1908	849
ENST00000289388	1322	28	1164	130
ENST00000286298	8054	247	2220	5587
ENST00000323061	1917	75	549	1293
ENST00000317204	3627	134	825	2668
ENST00000311507	1374	93	348	933
ENST00000323456	5839	125	3588	2126
ENST00000310346	3825	667	1557	1601
ENST00000293404	2114	42	1605	467
ENST00000320230	2796	384	972	1440
ENST00000282538	3658	47	1566	2045
ENST00000287878	3279	495	1710	1074
ENST00000301738	2434	26	705	1703
ENST00000324093	6913	37	5778	1098
ENST00000288774	2905	62	1041	1802
ENST00000300057	2369	79	807	1483
ENST00000285093	2926	49	1194	1683
ENST00000311277	7328	259	1944	5125
ENST00000293973	2188	405	1743	40
ENST00000308191	5385	298	1353	3734
ENST00000313965	1413	88	1188	137
ENST00000303786	4287	430	1182	2675
ENST00000307518	1449	209	1083	157
ENST00000323675	1018	61	930	27
ENST00000324862	2414	108	2052	254
ENST00000320895	2492	258	1617	617
ENST00000304519	1042	38	885	119
ENST00000314393	4361	574	2514	1273
ENST00000294664	2990	174	2676	140
ENST00000283195	11708	125	9675	1908
ENST00000304101	2341	391	1476	474
ENST00000279247	2952	87	2145	720
ENST00000280614	1962	201	1296	465
ENST00000295926	2322	53	1581	688
ENST00000320591	2323	230	849	1244
ENST00000311559	5371	391	2871	2109
ENST00000283752	1707	74	1173	460
ENST00000299882	2168	84	1374	710
ENST00000322107	951	0	951	0
ENST00000302550	4017	188	585	3244
ENST00000317907	2888	243	2532	113
ENST00000277120	8666	532	2517	5617
ENST00000306117	4538	397	1581	2560
ENST00000289473	1459	70	1173	216
ENST00000300134	3963	255	2544	1164
ENST00000298699	1711	170	1245	296
ENST00000308110	2364	321	1656	387
ENST00000301305	2123	55	1944	124
ENST00000316403	2749	75	1350	1324
ENST00000323274	1613	90	942	581
ENST00000299162	3416	169	1554	1693
ENST00000284727	2587	128	429	2030
ENST00000321801	3135	571	888	1676
ENST00000310754	2023	183	1110	730
ENST00000292907	340	40	240	60
ENST00000313654	10651	231	10002	418
ENST00000295728	902	246	594	62
ENST00000296792	5096	253	1557	3286
ENST00000321505	11618	124	5550	5944
ENST00000300417	3120	348	2172	600
ENST00000306434	2817	120	1188	1509
ENST00000318249	3767	351	1902	1514
ENST00000274520	605	25	435	145
ENST00000295645	900	136	726	38
ENST00000317897	1701	243	924	534
ENST00000299855	1822	63	1434	325
ENST00000290015	4972	56	1074	3842
ENST00000298738	2424	165	2091	168
ENST00000317932	1715	111	774	830
ENST00000315938	2617	335	1563	719
ENST00000318672	2369	36	1686	647
ENST00000304623	5888	593	3678	1617
ENST00000309241	10569	33	3072	7464
ENST00000303924	4240	588	1659	1993
ENST00000307355	2579	141	960	1478
ENST00000317025	10768	517	4314	5937
ENST00000292574	1757	100	1500	157
ENST00000287996	4268	143	1476	2649
ENST00000289431	4043	252	1563	2228
ENST00000296658	3893	297	738	2858
ENST00000323348	2540	125	2181	234
ENST00000282185	3029	296	663	2070
ENST00000288207	1488	123	1197	168
ENST00000321265	1792	106	996	690
ENST00000291182	3190	103	2217	870
ENST00000322893	11283	272	2967	8044
ENST00000324000	10087	290	1143	8654
ENST00000302584	3030	198	1149	1683
ENST00000317605	2543	879	1080	584
ENST00000292327	885	54	588	243
ENST00000295488	3543	130	3306	107
ENST00000319296	2069	68	954	1047
ENST00000282516	10425	489	8415	1521
ENST00000291442	2383	699	1215	469
ENST00000300119	3633	263	3132	238
ENST00000306627	1783	167	582	1034
ENST00000307271	4185	574	1998	1613
ENST00000302247	337	36	195	106
ENST00000295148	3848	96	2166	1586
ENST00000297142	1959	155	1014	790
ENST00000316386	2630	52	600	1978
ENST00000290722	1173	53	1026	94
ENST00000315251	7694	467	1785	5442
ENST00000276420	1766	89	1239	438
ENST00000306882	2321	281	1665	375
ENST00000303227	740	44	483	213
ENST00000292539	2722	917	1587	218
ENST00000284690	3050	468	2232	350
ENST00000319481	4152	172	2853	1127
ENST00000279242	2026	26	501	1499
ENST00000302422	446	13	342	91
ENST00000297524	1867	104	1413	350
ENST00000307266	759	0	759	0
ENST00000313146	3303	783	1062	1458
ENST00000299440	6588	130	3132	3326
ENST00000305202	1996	405	1161	430
ENST00000316660	1899	182	165	1552
ENST00000301887	2066	57	825	1184
ENST00000296435	745	156	522	67
ENST00000313735	4206	264	3462	480
ENST00000316433	3191	292	1983	916
ENST00000296786	2179	117	957	1105
ENST00000316939	1769	11	669	1089
ENST00000301180	8705	156	4731	3818
ENST00000304954	836	86	549	201
ENST00000313486	3888	232	813	2843
ENST00000323011	2728	325	2358	45
ENST00000299335	3150	8	831	2311
ENST00000286301	3989	292	2919	778
